Date,Open,High,Low,Close
11/30/2021,"58,266","59,146","55,932","57,144"
11/29/2021,"56,281","58,878","56,104","58,266"
11/28/2021,"54,601","56,402","53,578","56,281"
11/27/2021,"54,101","55,339","53,605","54,601"
11/26/2021,"58,834","59,342","53,577","54,101"
11/25/2021,"57,334","59,399","56,918","58,834"
11/24/2021,"57,696","57,755","55,928","57,334"
11/23/2021,"56,278","57,847","55,537","57,696"
11/22/2021,"59,568","59,574","55,706","56,278"
11/21/2021,"59,682","60,044","58,630","59,568"
11/20/2021,"57,924","59,725","57,570","59,682"
11/19/2021,"57,606","58,396","55,688","57,924"
11/18/2021,"60,101","60,956","56,777","57,583"
11/17/2021,"60,509","61,067","58,567","60,101"
11/16/2021,"63,864","64,015","58,870","60,557"
11/15/2021,"64,361","66,311","63,659","63,864"
11/14/2021,"64,317","65,297","63,673","64,373"
11/13/2021,"64,130","64,941","63,412","64,317"
11/12/2021,"65,030","65,459","62,334","64,072"
11/11/2021,"64,193","65,597","63,984","65,030"
11/10/2021,"67,802","68,925","63,052","64,387"
11/09/2021,"66,143","68,494","66,112","67,802"
11/08/2021,"62,862","66,504","62,817","66,175"
11/07/2021,"61,226","63,058","61,226","62,862"
11/06/2021,"60,966","61,594","60,184","61,223"
11/05/2021,"61,364","62,571","60,791","60,966"
11/04/2021,"62,769","63,211","60,776","61,378"
11/03/2021,"63,140","63,543","61,029","62,769"
11/02/2021,"60,652","64,243","60,460","63,140"
11/01/2021,"60,968","62,466","59,716","60,652"
10/31/2021,"61,698","62,400","60,058","60,968"
10/30/2021,"62,420","62,490","60,876","61,705"
10/29/2021,"61,398","62,943","60,315","62,420"
10/28/2021,"58,957","62,321","57,964","61,465"
10/27/2021,"62,095","62,095","58,153","58,957"
10/26/2021,"62,546","63,272","61,863","62,068"
10/25/2021,"61,153","63,688","60,654","62,546"
10/24/2021,"61,087","61,451","59,571","61,124"
10/23/2021,"60,728","61,716","59,764","61,087"
10/22/2021,"62,707","63,694","60,100","60,752"
10/21/2021,"65,980","66,612","62,368","62,707"
10/20/2021,"64,120","66,923","63,594","65,971"
10/19/2021,"61,369","64,322","61,139","64,120"
10/18/2021,"59,472","62,626","59,395","61,445"
10/17/2021,"61,013","61,408","59,071","59,472"
10/16/2021,"62,496","62,526","60,184","61,024"
10/15/2021,"57,449","62,719","56,896","62,496"
10/14/2021,"56,988","58,488","56,916","57,491"
10/13/2021,"55,364","57,479","54,325","56,988"
10/12/2021,"57,390","57,631","54,404","55,364"
10/11/2021,"55,425","57,767","54,445","57,390"
10/10/2021,"54,651","56,370","54,211","55,425"
10/09/2021,"53,951","55,410","53,738","54,651"
10/08/2021,"54,205","55,981","53,659","53,951"
10/07/2021,"54,903","55,588","53,496","54,205"
10/06/2021,"51,378","55,399","50,476","54,903"
10/05/2021,"49,016","51,757","48,595","51,378"
10/04/2021,"48,465","49,491","46,993","49,016"
10/03/2021,"48,045","49,158","47,139","48,552"
10/02/2021,"48,139","48,441","47,480","48,045"
10/01/2021,"43,432","48,122","43,302","48,110"
09/30/2021,"41,133","44,110","40,984","43,432"
